idproduto;ean;descricaoproduto;pisclassificacaofiscal;pisaliquota;cofinsclassificacaofiscal;cofinsaliquota;csosn;codigoncm;aliquota;
38556;"7891150084483";"SHAMPOO DOVE 400ML";"04";0,00;"04";0,00;"500";"33051000";0,00;
36996;"7896004004877";"BISC RECHEADO BAUNILHA PARATI 70G";"49";0,00;"49";0,00;"500";"19053100";0,00;
38591;"0000000038591";"RACAO LAND DOG FRANGO E CARNE KG";"";0,00;"";0,00;"102";"23099010";0,00;
38592;"0000000038592";"RACAO MIX DOG JUNIOR KG";"";0,00;"";0,00;"102";"23099010";0,00;
38605;"7895110015449";"STAROFFICE BOBINA TERMICA BRANCA 80MMX40";"49";0,00;"49";0,00;"102";"48119011";0,00;
38612;"7896022205195";"BISCOITO RENATA MAIZENA 200G";"49";0,00;"49";0,00;"102";"19053100";0,00;
36815;"7896952500315";"BALDE PLAST JAGUAR 7,5L";"49";0,00;"49";0,00;"102";"39249000";0,00;
36816;"0000000036816";"ABRACADEIRA ROSCA S/ FIM 25MM";"";1,66;"";0,00;"500";"73269090";0,00;
36817;"7898333010086";"OLEO MOTOR SEMISSINT 15W40 1L";"49";0,00;"49";0,00;"500";"27101932";0,00;
38594;"7891000118962";"NESCAU 3.0 ACT-GO 380G";"49";0,00;"49";0,00;"500";"18069000";0,00;
38575;"0000000038575";"ELASTICO DE CABELO RABICO";"";0,00;"";0,00;"102";"63079090";0,00;
38613;"7896022205355";"BISCOITO RENATA CRACKER GERGELIM 200G";"49";0,00;"49";0,00;"500";"19053100";0,00;
38624;"7897110000432";"VODKA LEONOFF 965ML";"06";8,55;"06";0,00;"500";"22086000";0,00;
38637;"7898722500020";"PRENDEDORES DE ROUPA PRENDE MAIS PLASTICO 12UND";"49";0,00;"49";0,00;"102";"39249000";0,00;
38606;"7898940197019";"SAL MOIDO LN 1KG";"49";0,00;"49";0,00;"102";"25010020";0,00;
38595;"7899710006517";"LAMPADA LED KIAN  6W";"49";0,00;"49";0,00;"500";"85395200";0,00;
38596;"7898324009167";"LAMPADA LED GLOBE 20W OUROLUX";"49";0,00;"49";0,00;"500";"85395200";0,00;
38576;"0000000038576";"ELASTICO DE CABELO ULTRA BEAD";"";0,00;"";0,00;"102";"63079090";0,00;
38625;"7896240700793";"SHAMPOO BEBE CABELOS BLUE 210ML";"04";0,00;"04";0,00;"500";"33051000";0,00;
38458;"7896789100016";"AMENDOIM TORRADO E MOIDO AMENDOREI 500G";"49";0,00;"49";0,00;"500";"20081100";0,00;
38459;"7896789100023";"AMENDOIM TORRADO AMENDOREI 500G";"49";0,00;"49";0,00;"500";"20081100";0,00;
38570;"7509546687537";"CD COLGATE LUMINOUS WHITE 60G";"49";0,00;"49";0,00;"102";"33061000";0,00;
38461;"0000000038461";"FRANGO A PASSARINHO TEMPERADO KG";"06";0,00;"06";0,00;"102";"02071300";0,00;
38597;"7891000115657";"DOG CHOW ADULTO FRANGO 100G";"49";0,00;"49";0,00;"500";"23099010";0,00;
38509;"7891151034944";"BALA GELATINA CHAVES";"49";0,00;"49";0,00;"102";"17049020";0,00;
38510;"7891151040211";"BALA GELATINA LUCAS NETO 70G";"49";0,00;"49";0,00;"102";"17049020";0,00;
38561;"7899360210234";"ESCOVA DENTAL FRESCOR ADULTO C/3";"04";0,00;"04";0,00;"102";"96032100";0,00;
38562;"7891025124108";"D.ACTIVIA AVEIA LEVE 800G PAGUE 750G";"49";0,00;"49";0,00;"102";"04039000";0,00;
38614;"7891095911486";"FAROFA PRONTA MANDIOCA YOKI 400G";"49";0,00;"49";0,00;"102";"19019090";0,00;
38557;"0000000038557";"APRESUNTADO FLIP KG";"06";0,00;"06";0,00;"102";"16024900";0,00;
38615;"7896004006239";"PRINGLES CREM/CEBOLA 109G";"49";0,00;"49";0,00;"500";"19059090";7,00;
38626;"7891022861242";"DETERGENTE LIMPOL JABUTICABA 500ML";"49";0,00;"49";0,00;"500";"34025000";0,00;
37388;"7892840820053";"DORITOS PIZZA 48G";"49";0,00;"49";0,00;"500";"19059090";0,00;
38638;"7892840821074";"RUFFLES HOTDOG 35G";"49";0,00;"49";0,00;"500";"20052000";0,00;
38803;"7896105500179";"AGUA SANITARIA CANDURA 5 LT";"49";0,00;"49";0,00;"500";"28289011";0,00;
38598;"7891008124026";"GAROTO TABLETE CHOCOLATE MEIO AMARGO 80G";"49";0,00;"49";0,00;"500";"18063210";0,00;
38639;"7892840821098";"RUFFLES HAMBURGUER 35G";"49";0,00;"49";0,00;"500";"20052000";0,00;
38660;"0000000038660";"ABOBRINHA REDONDA KG";"06";0,00;"06";0,00;"102";"07099300";0,00;
38577;"0000000038577";"PEIXE SALGADO MANJUBA KG";"06";0,00;"06";0,00;"102";"03056910";0,00;
38671;"7896001200258";"GELEIA FRUTA LINEA ZERO UVA 230G";"49";0,00;"49";0,00;"500";"20079910";0,00;
